MatchId;Player Name;Team;Position;7M Save;7M Save Accuracy;6M Save;6M Save Accuracy;9M Save;9M Save Accuracy;Wing Save;Wing Save Accuracy;Pivot Save;Pivot Save Accuracy;Fastbreak Save;Fastbreak Save Accuracy
1;Landin Jacobsen Niklas;THW;GK;0;0;10;0,2;80;61,54;10;1;10;1,25;0;0
1;Ruminsky Mario;HBW;GK;0;0;40;0,25;40;0,5;10;0,5;10;0,2;0;0
1;Quenstedt Dario;THW;GK;0;0;0;0;0;0;10;0,5;0;0;0;0
1;Sejr Jensen Simon;HBW;GK;0;0;0;0;0;0;0;0;0;0;0;0
2;Johannesson Peter;TBV;GK;10;33,33;30;0,3;60;0,5;20;0,4;20;28,57;20;0,5
2;Heinevetter Silvio;MTM;GK;0;0;0;0;30;0,6;20;33,33;0;0;0;0
2;Simic Nebojsa;MTM;GK;10;0,5;0;0;10;0,5;0;0;0;0;0;0
2;Zecher Finn;TBV;GK;0;0;0;0;0;0;0;0;0;0;0;0
3;Birlehm Joel;LEI;GK;0;0;0;0;100;76,92;0;0;20;33,33;0;0
3;Ferlin Klemen;HCE;GK;20;66,67;0;0;50;6,25;20;33,33;10;0,25;0;0
3;Ziemer Martin;HCE;GK;0;0;0;0;0;0;0;0;0;0;0;0
3;Saeveraas Kristian Skinstad;LEI;GK;0;0;0;0;0;0;0;0;0;0;0;0
4;M?ller Kevin;SGF;GK;0;0;50;41,67;60;85,71;30;42,86;0;0;10;0,5
4;Semisch Malte;GWD;GK;0;0;20;33,33;0;0;20;0,4;0;0;0;0
4;Lichtlein Carsten;GWD;GK;10;0,5;0;0;0;0;10;0,25;0;0;0;0
4;Buric Benjamin;SGF;GK;0;0;0;0;0;0;0;0;0;0;0;0
5;Rebmann Daniel;FAG;GK;0;0;0;0;40;66,67;50;83,33;10;33,33;0;0
5;Bitter Johannes;HSV;GK;10;0,25;20;28,57;20;0,5;30;0,25;0;0;0;0
5;Kastelic Urh;FAG;GK;0;0;10;0,2;20;0,5;10;0,25;10;33,33;10;0,5
5;Vortmann Jens;HSV;GK;0;0;0;0;0;0;0;0;0;0;0;0
6;Green Krejberg Jannick;SCM;GK;10;33,33;10;33,33;20;0,4;20;0,5;0;0;10;0,25
6;Jensen Mike;SCM;GK;0;0;10;33,33;50;0,5;0;0;0;0;0;0
6;Thulin Tobias;TVB;GK;0;0;10;11,11;10;0,5;10;16,67;10;0,2;0;0
6;Prost Primoz;TVB;GK;10;0,5;0;0;20;0,5;0;0;0;0;0;0
7;Palicka Andreas;RNL;GK;0;0;10;11,11;10;33,33;40;66,67;20;33,33;20;0,5
7;Ebner Domenico;HAN;GK;0;0;20;0,4;40;66,67;10;0,25;0;0;0;0
7;Lesjak Urban;HAN;GK;0;0;0;0;0;0;10;33,33;10;0,5;0;0
7;Spath David;RNL;GK;0;0;0;0;10;0,5;0;0;0;0;0;0
8;Milosavljev Dejan;BER;GK;0;0;30;3,75;70;0,5;20;0,25;20;66,67;0;0
8;Klimpke Till;WET;GK;0;0;30;42,86;40;36,36;10;11,11;10;0,5;10;0,2
8;Genz Fredrik;BER;GK;0;0;0;0;0;0;0;0;0;0;0;0
8;Suljakovic Anadin;WET;GK;0;0;0;0;0;0;0;0;0;0;0;0
9;Rudeck Christopher;BHC;GK;0;0;20;0,4;80;66,67;10;0,2;20;22,22;0;0
9;Rezar Aljosa;NLB;GK;10;1;0;0;60;35,29;0;0;0;0;0;0
9;Asheim Havard;NLB;GK;0;0;0;0;30;0,6;0;0;0;0;0;0
9;Mrkva Tomas;BHC;GK;0;0;0;0;0;0;0;0;0;0;0;0
10;M?ller Kevin;SGF;GK;0;0;40;36,36;40;36,36;10;33,33;20;33,33;0;0
10;Ferlin Klemen;HCE;GK;0;0;20;28,57;40;33,33;10;0,2;10;33,33;10;0,5
10;Ziemer Martin;HCE;GK;0;0;0;0;0;0;10;1;0;0;0;0
10;Buric Benjamin;SGF;GK;0;0;0;0;0;0;0;0;0;0;0;0
