PL;Player Name;Team Position;7M G/S;7M Accuracy;6M G/S;6M Accuracy;9M G/S;9M Accuracy;Wing G/S;Wing Accuracy;Pivot G/S;Pivot Accuracy;Fastbreak G/S;Fastbreak Accuracy
1;Ekberg, Niclas;THW, RW;3/3;100%;0/1;0%;0/0;-;1/2;50%;0/0;-;2/2;100%
2;Sagosen, Sander;THW, CB;0/0;-;3/3;100%;3/9;33.33%;0/0;-;0/0;-;0/0;-
3;Duvnjak, Domagoj;THW, CB;0/0;-;3/4;75%;0/0;-;0/0;-;1/1;100%;0/0;-
4;Weinhold, Steffen;THW, RB;0/0;-;4/4;100%;0/1;0%;0/0;-;0/0;-;0/0;-
5;Nothdurft, Tim;HBW, LW;0/0;-;0/0;-;0/0;-;0/1;0%;2/2;100%;2/2;100%
6;Reinkind, Harald;THW, RB;0/0;-;3/4;75%;1/2;50%;0/0;-;0/0;-;0/0;-
7;Wiederstein, Fabian;HBW, P;0/0;-;0/1;0%;0/0;-;0/0;-;4/6;66.67%;0/0;-
8;Lipovina, Vladan;HBW, RB;0/0;-;1/1;100%;3/10;30%;0/0;-;0/0;-;0/0;-
9;Pekeler, Hendrik;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;3/3;100%;0/0;-
10;Dahmke, Rune;THW, LW;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-;2/2;100%
11;Strosack, Moritz;HBW, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%
12;Heinzelmann, Tobias;HBW, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
13;Ingason, Daniel Thor;HBW, LB;0/0;-;1/2;50%;1/2;50%;0/0;-;0/0;-;0/0;-
14;Volz, Patrick;HBW, LW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
15;Ehrig, Sven;THW, RW;0/0;-;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
16;Thomann, Gregor;HBW, RW;1/1;100%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
17;Zintel, Bjorn;HBW, CB;0/0;-;1/1;100%;0/1;0%;0/0;-;0/0;-;0/0;-
18;Zarabec, Miha;THW, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
19;Stevanovic, Nikola;HBW, RB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;1/1;100%
20;Schoch, Jona;HBW, LB;0/0;-;0/0;-;1/3;33.33%;0/0;-;0/0;-;0/0;-
21;Bilyk, Nikola;THW, LB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;1/1;100%
22;Scott Junior, James;HBW, LB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
23;Horak, Pavel;THW, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
24;Saueressig, Lukas;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
25;Landin Jacobsen, Magnus;THW, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
26;Ciudad Benitez, Leon;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
27;Huber, Elias;HBW, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
28;Wiencek, Patrick;THW, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
29;Zerbe, Lukas;TBV, RW;1/1;100%;0/0;-;0/0;-;5/5;100%;0/0;-;1/1;100%
30;Hafner, Kai;MTM, RB;0/0;-;3/4;75%;0/1;0%;0/0;-;0/0;-;1/1;100%
31;Jonsson, Elvar Orn;MTM, CB;0/0;-;2/3;66.67%;2/3;66.67%;1/1;100%;0/0;-;0/0;-
32;Guardiola Villaplana, Gedeon;TBV, P;0/0;-;1/1;100%;0/0;-;0/0;-;2/2;100%;1/1;100%
33;Elisson, Bjarki Mar;TBV, LW;1/3;33.33%;1/1;100%;0/0;-;1/2;50%;0/0;-;1/1;100%
34;Carlsbogard, Jonathan;TBV, LB;0/0;-;3/3;100%;1/4;25%;0/0;-;0/0;-;0/0;-
35;Kuhn, Julius;MTM, LB;0/0;-;1/1;100%;3/8;37.5%;0/0;-;0/0;-;0/0;-
36;Reichmann, Tobias;MTM, RW;2/2;100%;0/0;-;0/0;-;1/1;100%;0/0;-;0/0;-
37;Guardiola Villaplana, Isaias;TBV, RB;0/0;-;1/1;100%;2/3;66.67%;0/0;-;0/0;-;0/0;-
38;Arnarsson, Arnar Freyr;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;3/5;60%;0/0;-
39;Maric, Marino;MTM, P;0/0;-;0/0;-;0/0;-;0/0;-;2/2;100%;0/0;-
40;Timm, Marcel;TBV, P;0/0;-;1/1;100%;0/0;-;0/0;-;1/1;100%;0/0;-
41;Kastening, Timo;MTM, RW;0/1;0%;0/0;-;0/0;-;1/3;33.33%;0/0;-;1/2;50%
42;Hutecek, Lukas;TBV, LB;0/0;-;1/1;100%;0/0;-;0/0;-;0/0;-;0/0;-
43;Schagen, Bobby;TBV, RW;1/2;50%;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-
44;Pavlovic, Domagoj;MTM, CB;0/0;-;0/1;0%;1/2;50%;0/0;-;0/0;-;0/0;-
45;Petersson, Alexander;MTM, RB;0/0;-;1/2;50%;0/2;0%;0/0;-;0/0;-;0/0;-
46;Allendorf, Michael;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
47;Lemke, Finn;MTM, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
48;Simak, Frederik;TBV, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
49;Reitemann, Michel;TBV, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
50;Blaauw, Niko;TBV, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
51;Schwarzer, Kian;TBV, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
52;Kunkel, Yves;MTM, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%
53;Kogut, Andrej;TBV, CB;0/0;-;0/0;-;0/2;0%;0/0;-;0/0;-;0/0;-
54;Binder, Lukas;LEI, LW;0/0;-;0/0;-;0/0;-;2/4;50%;1/1;100%;3/3;100%
55;Steinert, Christoph;HCE, RB;2/2;100%;2/2;100%;0/3;0%;0/0;-;1/1;100%;0/0;-
56;Jeppsson, Simon;HCE, LB;0/0;-;1/1;100%;3/8;37.5%;0/0;-;0/1;0%;0/0;-
57;Bissel, Christopher;HCE, LW;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%;1/1;100%
58;Olsson, Hampus;HCE, RW;1/1;100%;0/0;-;0/0;-;0/0;-;1/1;100%;1/1;100%
59;Larsen, Patrick Wiesmach;LEI, RW;1/1;100%;0/0;-;0/0;-;2/2;100%;0/0;-;0/0;-
60;Witzke, Luca;LEI, CB;0/0;-;1/1;100%;1/2;50%;0/0;-;0/0;-;0/0;-
61;Firnhaber, Sebastian;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;1/1;100%
62;Jotic, Lovro;LEI, CB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
63;Meyer-Siebert, Julius;LEI, LB;0/0;-;0/0;-;1/2;50%;0/0;-;0/0;-;0/0;-
64;Gebala, Maciej;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;1/3;33.33%;0/0;-
65;Remke, Gregor;LEI, RB;0/0;-;0/0;-;0/2;0%;0/0;-;1/1;100%;0/0;-
66;Metzner, Antonio;HCE, RB;0/0;-;1/1;100%;0/3;0%;0/0;-;0/0;-;0/0;-
67;Sellin, Johannes;HCE, RW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
68;Link, Nikolai;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
69;Milosevic, Alen;LEI, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
70;Mamic, Marko;LEI, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
71;Leban, Patrik;HCE, CB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
72;Overby, Petter;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
73;Marschall, Tarek;HCE, LB;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
74;Esche, Marc;LEI, LW;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
75;Budel, Nico;HCE, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
76;Ernst, Simon;LEI, CB;0/0;-;0/0;-;0/1;0%;0/0;-;0/0;-;0/0;-
77;Zechel, Tim;HCE, P;0/0;-;0/0;-;0/0;-;0/0;-;0/1;0%;0/0;-
78;Krzikalla, Lucas;LEI, RW;0/2;0%;0/0;-;0/0;-;0/0;-;0/0;-;0/0;-
