PL;Player Name;Team;Team Position;7M Goal;7M Shot;7MACC;6M Goal;6M Shot;6MACC;9M Goal;9M Shot;9MACC;Wing Goal;Wing Shot;WINGACC;Pivot Goal;Pivot Shot;PIVOTACC;Fastbreak Goal;Fastbreak Shot;FASTBREAKACC;Total Goal;Total Shot
1;Ekberg, Niclas;THW;RW;3;3;1,00;0;1;0,00;0;0;0,00;1;2;0,50;0;0;0,00;2;2;1,00;6;8
2;Sagosen, Sander;THW;CB;0;0;0,00;3;3;1,00;3;9;0,33;0;0;0,00;0;0;0,00;0;0;0,00;6;12
3;Duvnjak, Domagoj;THW;CB;0;0;0,00;3;4;0,75;0;0;0,00;0;0;0,00;1;1;1,00;0;0;0,00;4;5
4;Weinhold, Steffen;THW;RB;0;0;0,00;4;4;1,00;0;1;0,00;0;0;0,00;0;0;0,00;0;0;0,00;4;5
5;Nothdurft, Tim;HBW;LW;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0,00;2;2;1,00;2;2;1,00;4;5
6;Reinkind, Harald;THW;RB;0;0;0,00;3;4;0,75;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;4;6
7;Wiederstein, Fabian;HBW;P;0;0;0,00;0;1;0,00;0;0;0,00;0;0;0,00;4;6;0,67;0;0;0,00;4;7
8;Lipovina, Vladan;HBW;RB;0;0;0,00;1;1;1,00;3;10;0,30;0;0;0,00;0;0;0,00;0;0;0,00;4;11
9;Pekeler, Hendrik;THW;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;3;3;1,00;0;0;0,00;3;3
10;Dahmke, Rune;THW;LW;0;0;0,00;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;3;4
11;Strosack, Moritz;HBW;RW;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;2;2
12;Heinzelmann, Tobias;HBW;P;0;0;0,00;0;0;0,00;0;0;0,00;0;0;0,00;2;2;1,00;0;0;0,00;2;2
13;Ingason, Daniel Thor;HBW;LB;0;0;0,00;1;2;0,50;1;2;0,50;0;0;0,00;0;0;0,00;0;0;0,00;2;4
