7MSHOT;6MSHOT;9MSHOT;WINGSHOT;PIVOTSHOT;FASTBREAKSHOT
0.595361;0.195447;0.045962;1.499141;0.130155;0.599656
1;0.195447;0.045962;1.499141;0.130155;0.599656
2;0.195447;0.045962;1.499141;0.130155;0.599656
3;0.195447;0.045962;1.499141;0.130155;0.599656
4;0.195447;0.045962;1.499141;0.130155;0.599656
5;0.195447;0.045962;1.499141;0.130155;0.599656
6;0.195447;0.045962;1.499141;0.130155;0.599656
7;0.195447;0.045962;1.499141;0.130155;0.599656
8;0.195447;0.045962;1.499141;0.130155;0.599656
0.595361;1;0.045962;1.499141;0.130155;0.599656
0.595361;2;0.045962;1.499141;0.130155;0.599656
0.595361;3;0.045962;1.499141;0.130155;0.599656
0.595361;4;0.045962;1.499141;0.130155;0.599656
0.595361;0.195447;1;1.499141;0.130155;0.599656
0.595361;0.195447;2;1.499141;0.130155;0.599656
0.595361;0.195447;3;1.499141;0.130155;0.599656
0.595361;0.195447;4;1.499141;0.130155;0.599656
0.595361;0.195447;5;1.499141;0.130155;0.599656
0.595361;0.195447;6;1.499141;0.130155;0.599656
0.595361;0.195447;0.045962;1;0.130155;0.599656
0.595361;0.195447;0.045962;2;0.130155;0.599656
0.595361;0.195447;0.045962;3;0.130155;0.599656
0.595361;0.195447;0.045962;4;0.130155;0.599656
0.595361;0.195447;0.045962;5;0.130155;0.599656
0.595361;0.195447;0.045962;6;0.130155;0.599656
0.595361;0.195447;0.045962;7;0.130155;0.599656
0.595361;0.195447;0.045962;8;0.130155;0.599656
0.595361;0.195447;0.045962;9;0.130155;0.599656
0.595361;0.195447;0.045962;10;0.130155;0.599656
0.595361;0.195447;0.045962;1.499141;1;0.599656
0.595361;0.195447;0.045962;1.499141;2;0.599656
0.595361;0.195447;0.045962;1.499141;3;0.599656
0.595361;0.195447;0.045962;1.499141;0.130155;1
0.595361;0.195447;0.045962;1.499141;0.130155;2
0.595361;0.195447;0.045962;1.499141;0.130155;3
0.595361;0.195447;0.045962;1.499141;0.130155;4
0.595361;0.195447;0.045962;1.499141;0.130155;5
0.595361;0.195447;0.045962;1.499141;0.130155;6
0.595361;0.195447;0.045962;1.499141;0.130155;7
