7M;6M;9M;WING;PIVOT;FASTBREAK
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.1;0.05488;0.00789;0.000557;0.473057;0.097083
0.2;0.05488;0.00789;0.000557;0.473057;0.097083
0.3;0.05488;0.00789;0.000557;0.473057;0.097083
0.4;0.05488;0.00789;0.000557;0.473057;0.097083
0.5;0.05488;0.00789;0.000557;0.473057;0.097083
0.6;0.05488;0.00789;0.000557;0.473057;0.097083
0.7;0.05488;0.00789;0.000557;0.473057;0.097083
0.8;0.05488;0.00789;0.000557;0.473057;0.097083
0.9;0.05488;0.00789;0.000557;0.473057;0.097083
1;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.1;0.00789;0.000557;0.473057;0.097083
0.00211;0.2;0.00789;0.000557;0.473057;0.097083
0.00211;0.3;0.00789;0.000557;0.473057;0.097083
0.00211;0.4;0.00789;0.000557;0.473057;0.097083
0.00211;0.5;0.00789;0.000557;0.473057;0.097083
0.00211;0.6;0.00789;0.000557;0.473057;0.097083
0.00211;0.7;0.00789;0.000557;0.473057;0.097083
0.00211;0.8;0.00789;0.000557;0.473057;0.097083
0.00211;0.9;0.00789;0.000557;0.473057;0.097083
0.00211;1;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.1;0.000557;0.473057;0.097083
0.00211;0.05488;0.2;0.000557;0.473057;0.097083
0.00211;0.05488;0.3;0.000557;0.473057;0.097083
0.00211;0.05488;0.4;0.000557;0.473057;0.097083
0.00211;0.05488;0.5;0.000557;0.473057;0.097083
0.00211;0.05488;0.6;0.000557;0.473057;0.097083
0.00211;0.05488;0.7;0.000557;0.473057;0.097083
0.00211;0.05488;0.8;0.000557;0.473057;0.097083
0.00211;0.05488;0.9;0.000557;0.473057;0.097083
0.00211;0.05488;1;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.1;0.473057;0.097083
0.00211;0.05488;0.00789;0.2;0.473057;0.097083
0.00211;0.05488;0.00789;0.3;0.473057;0.097083
0.00211;0.05488;0.00789;0.4;0.473057;0.097083
0.00211;0.05488;0.00789;0.5;0.473057;0.097083
0.00211;0.05488;0.00789;0.6;0.473057;0.097083
0.00211;0.05488;0.00789;0.7;0.473057;0.097083
0.00211;0.05488;0.00789;0.8;0.473057;0.097083
0.00211;0.05488;0.00789;0.9;0.473057;0.097083
0.00211;0.05488;0.00789;1;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.1;0.097083
0.00211;0.05488;0.00789;0.000557;0.2;0.097083
0.00211;0.05488;0.00789;0.000557;0.3;0.097083
0.00211;0.05488;0.00789;0.000557;0.4;0.097083
0.00211;0.05488;0.00789;0.000557;0.5;0.097083
0.00211;0.05488;0.00789;0.000557;0.6;0.097083
0.00211;0.05488;0.00789;0.000557;0.7;0.097083
0.00211;0.05488;0.00789;0.000557;0.8;0.097083
0.00211;0.05488;0.00789;0.000557;0.9;0.097083
0.00211;0.05488;0.00789;0.000557;1;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.097083
0.00211;0.05488;0.00789;0.000557;0.473057;0.1
0.00211;0.05488;0.00789;0.000557;0.473057;0.2
0.00211;0.05488;0.00789;0.000557;0.473057;0.3
0.00211;0.05488;0.00789;0.000557;0.473057;0.4
0.00211;0.05488;0.00789;0.000557;0.473057;0.5
0.00211;0.05488;0.00789;0.000557;0.473057;0.6
0.00211;0.05488;0.00789;0.000557;0.473057;0.7
0.00211;0.05488;0.00789;0.000557;0.473057;0.8
0.00211;0.05488;0.00789;0.000557;0.473057;0.9
0.00211;0.05488;0.00789;0.000557;0.473057;1
