7MSHOT;7MACC;6MSHOT;6MACC;9MSHOT;9MACC;WINGSHOT;WINGACC;PIVOTSHOT;PIVOTACC;FASTBREAKSHOT;FASTBREAKACC;SHOT;GOAL
0;0;0;0;0;0;1;0;2;1;2;1;5;4
0;0;2;0.5;0;0;0;0;0;0;2;1;4;3
0;0;0;0;0;0;1;1;0;0;0;0;1;1
3;0.33;1;1;0;0;2;0.5;0;0;1;1;7;4
0;0;0;0;0;0;0;0;0;0;1;0;1;0
0;0;0;0;0;0;4;0.5;1;1;3;1;8;6
0;0;0;0;0;0;1;1;1;1;1;1;3;3
0;0;0;0;0;0;4;1;0;0;1;0;5;4
2;0.5;0;0;0;0;3;0.33;0;0;0;0;5;2
0;0;0;0;0;0;3;0;0;0;0;0;3;0
5;0.8;0;0;0;0;5;1;0;0;2;1;12;11
1;0;0;0;0;0;4;0.25;0;0;0;0;5;1
0;0;0;0;0;0;1;0;0;0;0;0;1;0
4;0.75;0;0;0;0;2;0.5;0;0;1;1;7;5
0;0;0;0;0;0;2;1;0;0;1;1;3;3
0;0;0;0;0;0;2;0.5;0;0;1;1;3;2
0;0;0;0;1;0;4;0.75;0;0;0;0;5;3
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;2;0;1;1;0;0;3;1
0;0;0;0;0;0;4;1;0;0;2;0.5;6;5
2;1;0;0;0;0;0;0;0;0;0;0;2;2
0;0;0;0;0;0;3;0.33;0;0;1;1;4;2
0;0;0;0;0;0;1;1;0;0;0;0;1;1
1;0;0;0;0;0;2;1;1;1;2;1;6;5
0;0;0;0;0;0;1;1;1;1;1;1;3;3
5;1;1;0;0;0;3;1;1;0;1;0;11;8
0;0;0;0;0;0;1;1;1;1;3;1;5;5
1;1;0;0;0;0;0;0;0;0;0;0;1;1
0;0;1;1;1;1;1;1;1;1;1;0;5;4
0;0;1;0;1;1;3;0.67;0;0;2;0.5;7;4
1;0;1;1;0;0;5;0.8;0;0;2;1;9;7
0;0;3;1;0;0;5;0.6;0;0;0;0;8;6
0;0;0;0;0;0;1;0;0;0;0;0;1;0
6;0.83;0;0;0;0;6;0.5;2;1;1;1;15;11
0;0;1;1;0;0;1;1;0;0;2;1;4;4
0;0;0;0;0;0;1;1;2;1;2;1;5;5
0;0;0;0;0;0;3;1;0;0;1;1;4;4
0;0;0;0;0;0;0;0;0;0;2;0.5;2;1
2;1;0;0;0;0;4;0.75;1;1;2;1;9;8
0;0;0;0;0;0;2;1;0;0;3;1;5;5
1;1;0;0;0;0;0;0;0;0;0;0;1;1
4;0.5;0;0;0;0;3;0.67;0;0;2;0.5;9;5
0;0;0;0;0;0;2;0.5;0;0;1;1;3;2
1;1;2;0.5;0;0;1;0;1;0;0;0;5;2
0;0;1;0;0;0;1;1;0;0;0;0;2;1
3;0.67;0;0;1;1;4;0.75;0;0;1;1;9;7
0;0;0;0;0;0;4;0.75;1;1;0;0;5;4
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;1;0;2;1;0;0;0;0;3;2
0;0;0;0;0;0;1;0;0;0;0;0;1;0
7;0.71;2;1;0;0;0;0;0;0;0;0;9;7
0;0;0;0;0;0;1;1;0;0;0;0;1;1
0;0;0;0;0;0;1;0;0;0;1;1;2;1
1;1;0;0;0;0;1;1;0;0;3;0.67;5;4
0;0;0;0;0;0;1;1;0;0;1;1;2;2
0;0;0;0;0;0;0;0;0;0;1;0;1;0
0;0;0;0;0;0;3;0;0;0;2;1;5;2
0;0;0;0;0;0;1;1;0;0;0;0;1;1
2;0.5;0;0;0;0;0;0;0;0;0;0;2;1
3;1;0;0;1;0;4;0.5;0;0;0;0;8;5
